Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Twin Peaks,78745,03/28/2017,92,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",10080943,Routine Inspection
"Tokyo Gardens Catering, LLC",78758,03/23/2017,96,"12407 N MOPAC EXPY NB Unit 700
AUSTIN, TX 78758
(30.41781, -97.704612)",10743910,Routine Inspection
Torchy's Tacos,78731,06/09/2015,78,"4211 SPICEWOOD SPRINGS RD
AUSTIN, TX 78731
(30.37101, -97.756003)",10382525,Routine Inspection
Villarina Foods of Texas,78746,12/17/2015,100,"3201 BEE CAVES RD Unit 165
AUSTIN, TX 78746
(30.273599, -97.799243)",11054621,Routine Inspection
Tokyo Garden,78749,08/29/2017,99,"5800 W SLAUGHTER LN
AUSTIN, TX 78749
(30.200438, -97.876151)",2803185,Routine Inspection
Tomgro Grocery,78741,07/21/2017,84,"1313 MONTOPOLIS DR
AUSTIN, TX 78741
(30.230262, -97.700055)",2803758,Routine Inspection
WL - Blue Dahlia Bistro,78746,07/28/2016,97,"3663 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.279035, -97.806503)",10733978,Routine Inspection
TravisCo Correctional Complex,78617,02/14/2017,97,"3614 BILL PRICE RD
AUSTIN, TX 78617
(30.198539, -97.646692)",2801300,Routine Inspection
TopGolf USA Austin,78758,07/31/2017,94,"2700 ESPERANZA XING
AUSTIN, TX 78758
(30.397697, -97.717839)",10910024,Routine Inspection
VFW #8787,78753,08/14/2015,83,"500 VFW RD
AUSTIN, TX 78753
(30.39186, -97.66921)",2800115,Routine Inspection
Travis Co Jail,78701,09/27/2016,98,"500 W 10TH ST
AUSTIN, TX 78701
(30.273145, -97.746189)",2800336,Routine Inspection
Tokyo Japanese Restaurant,78746,08/27/2015,84,"3201 BEE CAVES RD Unit 100
AUSTIN, TX 78746
(30.273599, -97.799243)",10850624,Routine Inspection
Twin Lion Chinese Restaurant,78759,03/31/2015,88,"4815 W BRAKER LN
AUSTIN, TX 78759
(30.40065, -97.747851)",2800036,Routine Inspection
"VV - AC VIP Marina, LLC",78641,07/21/2017,100,"16107 FM 2769 #B
VOLENTE, TX 78641
(30.441667, -97.912305)",10406162,Routine Inspection
Twin Peaks,78745,10/24/2016,89,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",10080943,Routine Inspection
WL - Lupe Tortillas Mexican Restaurant,78746,07/28/2017,89,"701 S CAPITAL OF TEXAS HWY NB Bldg A
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10805455,Routine Inspection
Vespaio,78704,09/14/2016,74,"1610 S CONGRESS AVE
AUSTIN, TX 78704
(30.247062, -97.750617)",2801096,Routine Inspection
VFW Post #856,78704,08/15/2017,100,"406 E ALPINE RD
AUSTIN, TX 78704
(30.224747, -97.757614)",2800629,Routine Inspection
Tomgro Grocery,78741,07/06/2015,75,"1313 MONTOPOLIS DR
AUSTIN, TX 78741
(30.230262, -97.700055)",2803758,Routine Inspection
Twin Peaks,78745,02/09/2016,94,"701 E STASSNEY LN
AUSTIN, TX 78745
(30.2, -97.77)",10080943,Routine Inspection
Tokyo Japanese Restaurant,78746,06/08/2017,83,"3201 BEE CAVES RD Unit 100
AUSTIN, TX 78746
(30.273599, -97.799243)",10850624,Routine Inspection
Tokyo Gardens,78753,08/12/2016,97,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.403174, -97.672214)",2802959,Routine Inspection
Towne Place Suites Austin Northwest,78759,03/16/2017,96,"10024 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78759
(30.390553, -97.737323)",11543282,Routine Inspection
Town and Country Optimist,78729,04/13/2016,80,"9100 MEADOWHEATH DR
AUSTIN, TX 78729
(30.464399, -97.773496)",10557844,Routine Inspection
Travis High School Child Development Center,78704,12/07/2015,97,"1314 E OLTORF ST
AUSTIN, TX 78704
(30.234179, -97.742811)",11309576,Routine Inspection
Tokyo Gardens Catering LLC,78756,12/07/2015,97,"5808 BURNET RD
AUSTIN, TX 78756
(30.334115, -97.739948)",10515079,Routine Inspection
WL - Izumi Sushi,78746,08/11/2017,89,"701 S CAPITAL OF TEXAS HWY NB Unit E-550
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10303654,Routine Inspection
Vitamin Cottage Natural Food Markets,78758,11/23/2016,90,"10515 N MOPAC EXPY NB Bldg L
AUSTIN, TX 78758
(30.392147, -97.733029)",10492569,Routine Inspection
Tropicana Cuban Restaurant,78758,06/09/2016,83,"9616 N LAMAR BLVD Unit 141
AUSTIN, TX 78758
(30.365822, -97.695459)",10662759,Routine Inspection
Tokyo Electron #6273,78741,11/24/2014,90,"2400 GROVE BLVD
AUSTIN, TX 78741
(30.221712, -97.707703)",2800816,Routine Inspection
Triny's Kitchen,78723,02/26/2015,94,"2039 AIRPORT BLVD
AUSTIN, TX 78723
(30.284441, -97.705204)",10604475,Routine Inspection
Varsity Pizza,78705,11/24/2015,81,"3000 DUVAL ST
AUSTIN, TX 78705
(30.291958, -97.734106)",2801433,Routine Inspection
WL - HEB #29 (Cafe on the Run),78746,09/13/2017,100,"701 S CAPITAL OF TEXAS HWY NB
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10111240,Routine Inspection
WL - Chipotle Mexican Grill #43,78746,05/14/2015,100,"3300 BEE CAVES RD Unit 670
WEST LAKE HILLS, TX 78746
(30.274794, -97.800964)",10179442,Routine Inspection
Tortilleria Rio Grande ,78745,11/17/2016,81,"500 W WILLIAM CANNON DR Unit 402
AUSTIN, TX 78745
(30.196231, -97.785737)",10507284,Routine Inspection
"Verts Mediterranean Grill, Inc. ",78741,01/27/2017,92,"1920 E RIVERSIDE DR Bunit 110
AUSTIN, TX 78741
(30.241939, -97.728297)",11269479,Routine Inspection
VV - Volente Beach Club,78641,05/29/2015,94,"16107 WHARF CV
VOLENTE, TX 78641
(30.442229, -97.913283)",2800729,Routine Inspection
Torchy's Tacos,78749,08/07/2017,92,"4301 W WILLIAM CANNON DR Bunit 400
AUSTIN, TX 78749
(30.222239, -97.838958)",10363316,Routine Inspection
Twice the Ice,78702,06/03/2016,99,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272318, -97.697534)",10748848,Routine Inspection
WL - Gold's Gym,78746,08/19/2016,97,"701 S CAPITAL OF TEXAS HWY NB
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",11082321,Routine Inspection
Tomunchi Frozen Yogurt,78758,12/02/2015,96,"1701 W PARMER LN Unit 105
AUSTIN, TX 78758
(30.412667, -97.68955)",10120967,Routine Inspection
WL - Izumi Sushi,78746,02/12/2015,82,"701 S CAPITAL OF TEXAS HWY NB Unit E-550
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10303654,Routine Inspection
Tiny Pies,78756,10/22/2014,100,"5035 BURNET RD
AUSTIN, TX 78756
(30.322272, -97.739359)",11100198,Routine Inspection
Twice the Ice,78745,10/27/2016,100,"746 W STASSNEY LN
AUSTIN, TX 78745
(30.208987, -97.78379)",10952835,Routine Inspection
Trifecta on 3rd,78701,03/28/2017,88,"360 NUECES ST Unit 10
AUSTIN, TX 78701
(30.267075, -97.749458)",10487240,Routine Inspection
Truluck's (Austin's),78701,12/10/2015,82,"200 W 4TH ST
AUSTIN, TX 78701
(30.266622, -97.745022)",2801538,Routine Inspection
Twice the Ice,78702,04/18/2017,100,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272318, -97.697534)",10748848,Routine Inspection
Vargas Food Store,78741,02/19/2016,91,"809 VARGAS RD
AUSTIN, TX 78741
(30.234009, -97.693707)",2804078,Routine Inspection
Viva Meat Market,78758,01/14/2016,87,"8610 N LAMAR BLVD Unit 100
AUSTIN, TX 78758
(30.354921, -97.703466)",10769105,1st Follow Up to Routine of 50 - 69
"Trophy Club, The",78701,07/20/2016,86,"308 1/2 E 6TH ST
AUSTIN, TX 78701
(30.267358, -97.740337)",10564086,Routine Inspection
WL - Chipotle Mexican Grill #43,78746,01/23/2015,97,"3300 BEE CAVES RD Unit 670
WEST LAKE HILLS, TX 78746
(30.274794, -97.800964)",10179442,Routine Inspection
Two Steps Ahead Learning Center,78723,10/30/2014,97,"3028 ROGGE LN
AUSTIN, TX 78723
(30.303188, -97.678524)",10871599,Routine Inspection
Trader Joe's # 452,78703,01/26/2016,91,"211 WALTER SEAHOLM DR
AUSTIN, TX 78703
(30.267029, -97.753126)",11326696,Routine Inspection
Tokyo Gardens Catering,78744,08/16/2017,96,"6607 S IH 35 SVRD NB
AUSTIN, TX 78744
(30.18997, -97.770312)",10743813,Routine Inspection
Tortilleria Rio Grande,78753,09/06/2017,79,"900 E BRAKER LN Unit 160
AUSTIN, TX 78753
(30.376103, -97.673724)",10239712,Routine Inspection
"Verts Mediterranean Grill, Inc. ",78723,04/12/2017,89,"1801 E 51ST ST
AUSTIN, TX 78723
(30.302589, -97.697714)",10985121,Routine Inspection
Tyson's Tacos,78751,01/09/2015,70,"4905 AIRPORT BLVD
AUSTIN, TX 78751
(30.309652, -97.715564)",10933597,Routine Inspection
Tokyo Gardens Catering,78751,08/31/2017,94,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298553, -97.720058)",2802167,Routine Inspection
WL - Lupe Tortillas Mexican Restaurant,78746,06/08/2016,89,"701 S CAPITAL OF TEXAS HWY NB Bldg A
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10805455,Routine Inspection
"WL - MOD Super Fast Pizza, LLC",78746,10/21/2016,93,"701 S CAPITAL OF TEXAS HWY NB Unit F-600
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",11313184,Routine Inspection
"Verts Mediterranean Grill, Inc. ",78723,10/21/2014,93,"1801 E 51ST ST
AUSTIN, TX 78723
(30.302589, -97.697714)",10985121,Routine Inspection
Tropical Market,78753,03/10/2016,87,"10805 N LAMAR BLVD
AUSTIN, TX 78753
(30.37695, -97.689195)",10935507,Routine Inspection
Top Notch,78757,11/17/2016,89,"7525 BURNET RD
AUSTIN, TX 78757
(30.351364, -97.733772)",10427418,Routine Inspection
Turner-Roberts Recreation Center,78724,08/10/2017,94,"7201 COLONY LOOP DR
AUSTIN, TX 78724
(30.302601, -97.637029)",10184483,Routine Inspection
Tokyo Gardens Catering,78660,02/06/2015,100,"1434 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.441282, -97.66529)",10747701,Routine Inspection
"Trophy Club, The",78701,01/15/2015,80,"308 1/2 E 6TH ST
AUSTIN, TX 78701
(30.267358, -97.740337)",10564086,Routine Inspection
Torchy's Tacos,78705,06/07/2016,89,"2801 GUADALUPE ST Unit 5-B
AUSTIN, TX 78705
(30.293624, -97.741933)",10149497,Routine Inspection
Urban Market,78702,08/12/2016,98,"1905 E 12TH ST
AUSTIN, TX 78702
(30.27381, -97.719664)",2803966,Routine Inspection
WL - Hat Creek Burger Company,78746,07/17/2017,90,"5904 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.295455, -97.827087)",10643754,Routine Inspection
University Towers,78705,10/02/2015,94,"801 W 24TH ST
AUSTIN, TX 78705
(30.288042, -97.746267)",10814775,Routine Inspection
Town and Country Optimist,78729,03/02/2015,97,"9100 MEADOWHEATH DR
AUSTIN, TX 78729
(30.464399, -97.773496)",10557844,Routine Inspection
Tokyo Gardens Catering,78727,06/05/2017,100,"6001 W PARMER LN
AUSTIN, TX 78727
(30.442053, -97.74155)",10743681,Routine Inspection
Vida Fit,78745,06/15/2017,100,"4360 S CONGRESS AVE Unit 106
AUSTIN, TX 78745
(30.218011, -97.767028)",11402265,Routine Inspection
WL - Izumi Sushi,78746,08/12/2016,95,"701 S CAPITAL OF TEXAS HWY NB Unit E-550
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10303654,Routine Inspection
Travis Heights Elementary,78704,09/11/2015,100,"2010 ALAMEDA DR
AUSTIN, TX 78704
(30.240952, -97.745965)",2800308,Routine Inspection
Touche,78701,09/01/2016,90,"417 E 6TH ST
AUSTIN, TX 78701
(30.266911, -97.73869)",2801223,Routine Inspection
Tucci's Southside Subs,78745,03/21/2016,89,"801 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19096, -97.771937)",2800938,Routine Inspection
Travis Co Jail,78701,09/30/2015,100,"500 W 10TH ST
AUSTIN, TX 78701
(30.273145, -97.746189)",2800336,Routine Inspection
Twin Lion Chinese Restaurant,78759,10/17/2014,89,"4815 W BRAKER LN
AUSTIN, TX 78759
(30.40065, -97.747851)",2800036,Routine Inspection
Tokyo Gardens Catering,78741,06/16/2015,95,"2508 E RIVERSIDE DR
AUSTIN, TX 78741
(30.234637, -97.723434)",10750623,Routine Inspection
Vasquez Tacos,78753,10/15/2015,96,"915 E BRAKER LN
AUSTIN, TX 78753
(30.375277, -97.672314)",2801286,Routine Inspection
Titaya's Thai Cuisine,78751,04/21/2015,96,"5501 N LAMAR BLVD
AUSTIN, TX 78751
(30.322217, -97.728672)",2803076,Routine Inspection
VIA 313 Pizza,78705,07/10/2017,94,"3016 GUADALUPE ST
AUSTIN, TX 78705
(30.297697, -97.741335)",11485756,Routine Inspection
Tokyo Gardens Catering,78749,12/10/2014,96,"6900 BRODIE LN
AUSTIN, TX 78749
(30.215283, -97.829514)",2803002,Routine Inspection
"Tokyo Gardens Catering, LLC",78758,04/28/2016,99,"12407 N MOPAC EXPY NB Unit 700
AUSTIN, TX 78758
(30.41781, -97.704612)",10743910,Routine Inspection
Trader Joe's #454,78759,04/19/2016,99,"9722 GREAT HILLS TRL
AUSTIN, TX 78759
(30.394529, -97.75208)",11146920,Routine Inspection
Troy,78759,09/29/2015,84,"8105 MESA DR Bldg A
AUSTIN, TX 78759
(30.371779, -97.75711)",11176042,Routine Inspection
WL - Maryes Gourmet Pizza,78746,05/17/2016,95,"3663 BEE CAVES RD Bldg 4G
WEST LAKE HILLS, TX 78746
(30.279035, -97.806503)",11016089,Routine Inspection
Tom Thumb # 2987 Fuel Station,78732,02/13/2015,100,"5145 N FM 620 RD Bldg M
AUSTIN, TX 78732
(30.390367, -97.884685)",10957389,Routine Inspection
Torchy's Tacos,78726,03/30/2016,91,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4545, -97.82678)",10652331,Routine Inspection
Tokyo Gardens Catering,78749,05/26/2017,100,"6900 BRODIE LN
AUSTIN, TX 78749
(30.215283, -97.829514)",2803002,Routine Inspection
Toulouse,78701,01/07/2016,94,"409 E 6TH ST
AUSTIN, TX 78701
(30.26697, -97.738899)",11167273,Routine Inspection
"Verts Mediterranean Grill, Inc. ",78705,07/28/2017,88,"2530 GUADALUPE ST
AUSTIN, TX 78705
(30.289893, -97.741401)",10618521,Routine Inspection
WL - Lupe Tortillas Mexican Restaurant,78746,01/17/2017,95,"701 S CAPITAL OF TEXAS HWY NB Bldg A
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10805455,Routine Inspection
"Verts Mediterranean Grill, Inc. ",78757,07/16/2015,90,"2438 W ANDERSON LN Bunit 1
AUSTIN, TX 78757
(30.356395, -97.731374)",10828778,Routine Inspection
TopGolf USA Austin,78758,08/20/2015,89,"2700 ESPERANZA XING
AUSTIN, TX 78758
(30.397697, -97.717839)",10910024,Routine Inspection
Tinseltown USA Pflugerville,78660,07/11/2016,100,"15436 FM 1825
PFLUGERVILLE, TX 78660
(30.447657, -97.662334)",2801050,Routine Inspection
Troy,78759,09/22/2016,91,"8105 MESA DR Bldg A
AUSTIN, TX 78759
(30.371779, -97.75711)",11176042,Routine Inspection
Tropicana Cuban Restaurant,78758,01/28/2016,71,"9616 N LAMAR BLVD Unit 141
AUSTIN, TX 78758
(30.365822, -97.695459)",10662759,Routine Inspection
Vivo,78752,04/03/2017,85,"6406 N IH 35 SVRD SB Unit 2343
AUSTIN, TX 78752
(30.325374, -97.707046)",11223207,Routine Inspection
6M Grocery,78652,04/27/2015,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,05/02/2016,88,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,05/25/2017,86,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,10/21/2015,87,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,10/24/2016,85,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,12/15/2014,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
Tropical Smoothie Cafe,78752,09/21/2017,87,"6001 AIRPORT BLVD
AUSTIN, TX 78752
(30.325241, -97.715995)",11197932,Routine Inspection
Vasquez Mexican Restaurant #2,78758,03/18/2015,93,"9063 RESEARCH BLVD NB
AUSTIN, TX 78758
(30.374064, -97.727482)",2801933,Routine Inspection
WL - Izumi Sushi,78746,02/10/2017,96,"701 S CAPITAL OF TEXAS HWY NB Unit E-550
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10303654,Routine Inspection
Town Food Mart,78745,07/26/2016,93,"800 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.191052, -97.771828)",10104331,Routine Inspection
Vic's Bar-B-Que,78741,08/18/2015,87,"3502 BURLESON RD
AUSTIN, TX 78741
(30.216242, -97.734508)",2801051,Routine Inspection
Trudy's North Star,78757,04/09/2015,82,"8820 BURNET RD
AUSTIN, TX 78757
(30.370703, -97.72705)",2800417,Routine Inspection
Vandegrift High School,78750,04/10/2015,80,"9500 MC NEIL DR
AUSTIN, TX 78750
(30.395309, -97.826822)",10417414,Routine Inspection
7 Eleven # 32248,78717,02/08/2016,80,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,02/10/2015,92,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,07/08/2016,95,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,07/17/2017,92,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,08/12/2015,93,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,12/15/2016,90,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
Trianon Coffee,78746,05/31/2016,96,"3201 BEE CAVES RD Unit 163
AUSTIN, TX 78746
(30.273599, -97.799243)",11004049,Routine Inspection
Tortilleria Rio Grande ,78745,05/10/2016,86,"500 W WILLIAM CANNON DR Unit 402
AUSTIN, TX 78745
(30.196231, -97.785737)",10507284,Routine Inspection
Travis Heights Elementary,78704,11/16/2016,97,"2010 ALAMEDA DR
AUSTIN, TX 78704
(30.240952, -97.745965)",2800308,Routine Inspection
Tucci's Southside Subs,78736,06/09/2016,92,"7101 W SH 71
AUSTIN, TX 78736
(30.235433, -97.876875)",2803090,Routine Inspection
Vino Vino,78751,04/16/2015,100,"4119 GUADALUPE ST
AUSTIN, TX 78751
(30.307065, -97.735396)",10002550,Routine Inspection
Torchy's Tacos,78726,10/28/2014,97,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4545, -97.82678)",10652331,Routine Inspection
Tortilleria Rio Grande,78753,01/10/2017,85,"900 E BRAKER LN Unit 160
AUSTIN, TX 78753
(30.376103, -97.673724)",10239712,Routine Inspection
"VV - AC VIP Marina, LLC",78641,03/21/2016,98,"16107 FM 2769 #B
VOLENTE, TX 78641
(30.441667, -97.912305)",10406162,Routine Inspection
Twin Creeks Cellar,78652,04/21/2015,100,"12521 TWIN CREEKS RD
AUSTIN, TX 78652
(30.129818, -97.823095)",11062319,Routine Inspection
Travis High School Child Development Center,78704,05/09/2016,98,"1314 E OLTORF ST
AUSTIN, TX 78704
(30.234179, -97.742811)",11309576,Routine Inspection
Torchy's Tacos,78704,03/26/2017,87,"3005 S LAMAR BLVD Bunit 116
AUSTIN, TX 78704
(30.242145, -97.784375)",10558516,Routine Inspection
Trianon Coffee,78746,01/08/2015,89,"3201 BEE CAVES RD Unit 163
AUSTIN, TX 78746
(30.273599, -97.799243)",11004049,Routine Inspection
Tropical Smoothie Cafe,78741,03/24/2017,84,"1020 GROVE BLVD
AUSTIN, TX 78741
(30.235995, -97.703777)",11099463,Routine Inspection
7 Eleven #36575,78660,01/23/2017,96,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,01/25/2016,92,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,03/05/2015,86,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,07/11/2017,88,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,07/27/2015,97,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,07/28/2016,77,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
WL - Lupe Tortillas Mexican Restaurant,78746,11/20/2015,78,"701 S CAPITAL OF TEXAS HWY NB Bldg A
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10805455,Routine Inspection
Toms,78704,12/08/2016,94,"1401 S CONGRESS AVE
AUSTIN, TX 78704
(30.249751, -97.749609)",11099415,Routine Inspection
Torchy's Tacos,78704,02/09/2015,91,"2809 S 1ST ST
AUSTIN, TX 78704
(30.236335, -97.763288)",10113800,Routine Inspection
Tokyo Electron #6273,78741,05/11/2017,85,"2400 GROVE BLVD
AUSTIN, TX 78741
(30.221712, -97.707703)",2800816,Routine Inspection
Twin Lion Chinese Restaurant,78759,09/01/2016,89,"4815 W BRAKER LN
AUSTIN, TX 78759
(30.40065, -97.747851)",2800036,Routine Inspection
Twin Creeks Cellar,78652,07/17/2017,99,"12521 TWIN CREEKS RD
AUSTIN, TX 78652
(30.129818, -97.823095)",11062319,Routine Inspection
WL - HEB #29 (Cafe on the Run),78746,11/06/2014,97,"701 S CAPITAL OF TEXAS HWY NB
WEST LAKE HILLS, TX 78746
(30.292189, -97.828184)",10111240,Routine Inspection
Tiny Pies,78704,03/14/2017,98,"2032 S LAMAR BLVD
AUSTIN, TX 78704
(30.248836, -97.768659)",11517520,Routine Inspection
WL - Hat Creek Burger Company,78746,12/04/2015,91,"5904 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.295455, -97.827087)",10643754,Routine Inspection
"Trophy Club, The",78701,12/21/2016,80,"308 1/2 E 6TH ST
AUSTIN, TX 78701
(30.267358, -97.740337)",10564086,Routine Inspection
Tokyo Gardens Catering,78751,06/23/2015,100,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298553, -97.720058)",2802167,Routine Inspection
TopGolf USA Austin,78758,12/11/2014,96,"2700 ESPERANZA XING
AUSTIN, TX 78758
(30.397697, -97.717839)",10910024,Routine Inspection
Tokyo Gardens Catering,78727,05/10/2016,98,"6001 W PARMER LN
AUSTIN, TX 78727
(30.442053, -97.74155)",10743681,Routine Inspection
